[Date 2024-11-27 | Time 19:10:5] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 85 ms
[Date 2024-11-27 | Time 19:11:15] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 64 ms
[Date 2024-12-6 | Time 19:5:4] :: POST /api/v1/users/login | ::1 | StatusCode: 400 | ResponseDuration: 10 ms
[Date 2024-12-6 | Time 19:5:18] :: POST /api/v1/users/login | ::1 | StatusCode: 400 | ResponseDuration: 81 ms
[Date 2024-12-6 | Time 19:5:24] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 101 ms
[Date 2024-12-6 | Time 20:17:33] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 93 ms
[Date 2024-12-6 | Time 20:22:35] :: POST /api/v1/users/signup | ::1 | StatusCode: 200 | ResponseDuration: 92 ms
[Date 2024-12-6 | Time 20:26:38] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 87 ms
[Date 2024-12-6 | Time 20:29:16] :: POST /api/v1/users/signup | ::1 | StatusCode: 200 | ResponseDuration: 100 ms
[Date 2024-12-6 | Time 21:31:47] :: POST /api/v1/users/login | ::1 | StatusCode: 200 | ResponseDuration: 67 ms
[Date 2024-12-6 | Time 21:35:43] :: POST /api/v1/users/signup | ::1 | StatusCode: 200 | ResponseDuration: 67 ms
